gene	bp_HG002_v4.2.1	fraction_HG002_v4.2.1	bp_coordinates_plus_segdups_plus_flanking_hifiasm_dip.bed	fraction_coordinates_plus_segdups_plus_flanking_hifiasm_dip.bed	chrom	start	end	start_coordinates_plus_segdups_plus_flanking	end_coordinates_plus_segdups_plus_flanking	bp_MRG_benchmark_bed	fraction_MRG_benchmark_bed	bp_in_AllRepeats_gt_10kb	fraction_in_AllRepeats_gt_10kb	bp_in_reference_gaps_stratification	fraction_in_reference_gaps_stratification	bp_in_Tier1andTier2_SV_0.6_slop150_stratification	fraction_in_Tier1andTier2_SV_0.6_slop150_stratification	bp_in_illumina_ccs_ont_cnv_stratification	fraction_in_illumina_ccs_ont_cnv_stratification	bp_in_ccs_ont_elliptical_outlier_cnv_stratification	fraction_in_ccs_ont_elliptical_outlier_cnv_stratification	bp_in_assembly_cnv_stratification	fraction_in_assembly_cnv_stratification	bp_in_vdj_stratification	fraction_in_vdj_stratification	bp_in_inversions_stratification	fraction_in_inversions_stratification	bp_in_segmental_duplications_gt5_percent_identity_gte_990_stratification	fraction_in_segmental_duplications_gt5_percent_identity_gte_990_stratification	bp_in_segmental_duplications_stratification	fraction_in_segmental_duplications_stratification	bp_in_low_mappability_and_segmental_duplications_stratification	fraction_in_low_mappability_and_segmental_duplications_stratification	num_v0.6_SVs_in_gene	num_MRG_SV_v0.1_in_gene	num_MRG_small_variant_v0.2_variants_in_gene	num_v4.2.1_small_variants_in_gene	bp_exon_covered_v4.2.1	fraction_exon_covered_v4.2.1	bp_exon_covered_MRG_benchmark	fraction_exon_covered_MRG_benchmark	mandelker	cosmic	high_priority	num_v4.2.1_variants_in_exons	num_MRG_SV_v0.1_benchmark_variants_in_exons	num_MRG_small_variant_v0.2_variants_in_exons	num_MRG_small_variant_v0.03_variants_in_gene	bp_MRG_small_variant_v0.03	fraction_MRG_small_variant_v0.03	num_MRG_SV_v0.02_SVs_in_gene	bp_exon_covered_MRG_small_variant_v0.03_benchmark	fraction_exon_covered_MRG_small_variant_v0.03_benchmark	num_MRG_small_variant_v0.03_variants_in_exons	num_MRG_SV_v0.02_variants_in_exons	bp_in_HG002_GIABv4.1_CNVsandSVs_stratification	fraction_in_HG002_GIABv4.1_CNVsandSVs_stratification	bp_in_HG002_GIABv4.1_complexandSVs_alldifficultregions_stratification	fraction_in_HG002_GIABv4.1_complexandSVs_alldifficultregions_stratification	num_breaks_in_hifiasm_dip.bed_plus_segdups_plus_flanking
DLAT	37847	0.956311906	79576	1	11	111895538	111935114	111875538	111955114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2237	0.056524156	0	0	0	43	4392	0.98829883	0	0	yes	no	no	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDHD	32056	0.975651327	72856	1	11	111957497	111990353	111937497	112010353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1018	0.030983686	0	0	0	38	1564	1	0	0	yes	yes	yes	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDHD	102391	0.957811433	146901	1	11	111957627	112064528	111937627	112084528	0	0	0	0	0	0	354	0.003311475	0	0	0	0	0	0	0	0	0	0	0	0	8674	0.081140494	10582	0.098988784	0	0	0	146	1564	1	0	0	yes	yes	yes	2	0	0	0	0	0	0	0	0	0	0	354	0.003311475	354	0.0033115	0
BCO2	47471	0.964230582	89232	1	11	112046190	112095422	112026190	112115422	0	0	0	0	0	0	312	0.006337342	0	0	0	0	0	0	0	0	0	0	0	0	8659	0.17588154	9164	0.186139097	2	0	0	77	4259	0.971044232	0	0	yes	no	no	4	0	0	0	0	0	0	0	0	0	0	312	0.006337342	312	0.0063373	0
PTS	41478	0.95154852	83590	1	11	112097088	112140678	112077088	112160678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1562	0.035833907	1888	0.043312686	0	0	0	89	929	1	0	0	yes	no	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKK1	12319	0.975607825	52627	1	11	113258513	113271140	113238513	113291140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	2535	1	0	0	yes	no	yes	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRD2	65281	0.987684394	106095	1	11	113280318	113346413	113260318	113366413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	3071	1	0	0	yes	no	yes	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMPRSS5	18263	0.970249163	58823	1	11	113558272	113577095	113538272	113597095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0.002443819	0	0	0	26	2219	1	0	0	yes	no	no	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTR3B	40903	0.976484912	81888	1	11	113775399	113817287	113755399	113837287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	503	0.012008212	0	0	0	36	2002	1	0	0	yes	no	no	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTR3A	15330	0.993390358	55432	1	11	113845603	113861035	113825603	113881035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2.59E-04	0	0	0	25	2399	1	0	0	yes	no	no	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZBTB16	186123	0.974042693	231083	1	11	113930315	114121398	113910315	114141398	0	0	0	0	0	0	428	0.002239864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1319	0.00690276	0	0	0	347	2593	1	0	0	yes	yes	no	0	0	0	0	0	0	0	0	0	0	0	428	0.002239864	428	0.0022399	0
CADM1	329194	0.980511531	375737	1	11	115039938	115375675	115019938	115395675	0	0	0	0	0	0	756	0.002251763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1299	0.0038691	0	0	0	321	8349	0.961201934	0	0	yes	no	no	15	0	0	0	0	0	0	0	0	0	0	756	0.002251763	756	0.0022518	0
APOA5	3053	1	43053	1	11	116660083	116663136	116640083	116683136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1934	1	0	0	yes	no	no	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOA4	2603	1	42603	1	11	116691419	116694022	116671419	116714022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1467	1	0	0	yes	no	no	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOC3	3060	0.909090909	43366	1	11	116700422	116703788	116680422	116723788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0.007427213	0	0	0	9	546	1	0	0	yes	no	no	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOA1	2199	1	42199	1	11	116706467	116708666	116686467	116728666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1421	1	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAFAH1B2	31170	0.955343734	72627	1	11	117014983	117047610	116994983	117067610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3621	0.110981702	4008	0.122843044	0	0	0	48	5945	0.944550365	0	0	no	yes	no	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP164	95028	0.962689062	138711	1	11	117185273	117283984	117165273	117303984	0	0	0	0	0	0	771	0.00781068	0	0	0	0	0	0	0	0	0	0	0	0	1104	0.011184164	3091	0.031313633	2	0	0	133	5473	0.977845274	0	0	yes	no	no	5	0	0	0	0	0	0	0	0	0	0	771	0.00781068	771	0.0078107	0
FXYD2	27555	0.989265456	67854	1	11	117671559	117699413	117651559	117719413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2996	0.107560853	0	0	0	23	1060	1	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FXYD6	40107	0.990100721	80508	1	11	117707693	117748201	117687693	117768201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321	0.007924361	0	0	0	45	3024	0.99147541	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL10RA	15133	1	55133	1	11	117857063	117872196	117837063	117892196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3688	1	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCN4B	19286	0.988468044	59511	1	11	118004092	118023603	117984092	118043603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0.009379324	0	0	0	37	4444	0.977347702	0	0	yes	no	no	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCN2B	14251	0.968007064	54722	1	11	118032666	118047388	118012666	118067388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	5563	0.955513569	0	0	yes	no	no	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD3E	11630	1	51630	1	11	118175260	118186890	118155260	118206890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	9.46E-04	0	0	0	13	1539	1	0	0	yes	no	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD3D	3790	1	43790	1	11	118209669	118213459	118189669	118233459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	856	1	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD3G	10161	0.939354719	50817	1	11	118215059	118225876	118195059	118245876	0	0	0	0	0	0	198	0.018304521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0.020338356	0	0	0	15	2342	0.876825159	0	0	yes	no	no	7	0	0	0	0	0	0	0	0	0	0	198	0.018304521	198	0.0183045	0
KMT2A	87924	0.97332123	130334	1	11	118307205	118397539	118287205	118417539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	765	0.008468572	0	0	0	10	16558	1	0	0	yes	yes	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TREH	21380	0.955616144	62373	1	11	118528026	118550399	118508026	118570399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3123	0.139587896	3229	0.14432575	0	0	0	19	0	0	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX6	39679	0.948713657	81824	1	11	118620034	118661858	118600034	118681858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1895	0.045308914	2094	0.050066947	0	0	0	76	4429	0.935770125	0	0	no	yes	no	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCL9L	30853	0.972268616	71733	1	11	118764584	118796317	118744584	118816317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	9997	1	0	0	no	yes	no	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXR1	9296	0.969949917	49584	1	11	118842417	118852001	118822417	118872001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8.35E-04	0	0	0	4	1153	1	0	0	no	yes	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC37A4	6792	1	46792	1	11	118894824	118901616	118874824	118921616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	yes	no	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMBS	8431	0.970977773	48683	1	11	118955576	118964259	118935576	118984259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1717	0.979463776	0	0	yes	no	no	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPAGT1	11511	0.973199188	51828	1	11	118967213	118979041	118947213	118999041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0.012681772	0	0	0	26	3590	1	0	0	yes	no	no	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NLRX1	17110	0.980628152	57448	1	11	119037277	119054725	119017277	119074725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0.004814305	0	0	0	10	4118	1	0	0	yes	no	no	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBL	98448	0.964165043	142107	1	11	119076752	119178859	119056752	119198859	0	0	0	0	0	0	361	0.003535507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1238	0.012124536	1	0	0	67	11244	0.982094506	0	0	yes	yes	yes	6	0	0	0	0	0	0	0	0	0	0	361	0.003535507	361	0.0035355	0
C1QTNF5	7731	1	47731	1	11	119209652	119217383	119189652	119237383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3902	1	0	0	yes	no	no	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MFRP	7731	1	47731	1	11	119209652	119217383	119189652	119237383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3902	1	0	0	yes	no	no	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MFRP	7716	1	47716	1	11	119209652	119217368	119189652	119237368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3902	1	0	0	yes	no	no	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PVRL1	103708	0.981395613	146433	1	11	119494120	119599794	119473361	119619794	0	0	0	0	0	0	705	0.006671461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0.002753752	0	0	0	188	6260	1	0	0	yes	no	no	2	0	0	0	0	0	0	0	0	0	0	705	0.006671461	705	0.0066715	0
ARHGEF12	149688	0.979261799	192858	1	11	120207787	120360645	120187787	120380645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	611	0.003997174	0	0	0	158	9619	1	0	0	yes	yes	no	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRIK4	470214	0.985474017	517145	1	11	120382468	120859613	120362468	120879613	0	0	0	0	0	0	1232	0.002582024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3162	0.006626916	1	0	0	544	6072	1	0	0	yes	no	yes	8	0	0	0	0	0	0	0	0	0	0	1232	0.002582024	1232	0.002582	0
TECTA	85328	0.944729849	130320	1	11	120971882	121062202	120951882	121082202	0	0	0	0	0	0	3442	0.038108946	0	0	1000	0.011071745	0	0	0	0	0	0	0	0	0	0	6740	0.074623561	2	0	0	160	7402	1	0	0	yes	no	yes	8	0	0	0	0	0	0	0	0	0	0	3442	0.038108946	3442	0.0381089	0
SC5D	16015	0.986084601	56241	1	11	121163162	121179403	121143162	121199403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2677	1	0	0	yes	no	no	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SORL1	177407	0.977502893	221490	1	11	121322912	121504402	121302912	121524402	0	0	0	0	0	0	2552	0.014061381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2397	0.013207339	1	0	0	172	10856	1	0	0	yes	no	no	13	0	0	0	0	0	0	0	0	0	0	2552	0.014061381	2552	0.0140614	0
CLMP	119888	0.975063845	162954	1	11	122943035	123065989	122923035	123085989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1361	0.01106918	0	0	0	58	2603	1	0	0	yes	no	no	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCN3B	25609	0.982806923	66057	1	11	123499895	123525952	123479895	123545952	0	0	0	0	0	0	393	0.01508232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0.006831178	0	0	0	71	6403	1	0	0	yes	no	no	7	0	0	0	0	0	0	0	0	0	0	393	0.01508232	393	0.0150823	0
SIAE	61688	0.985525769	102594	1	11	124503009	124565603	124483009	124585603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0.003594594	0	0	0	10	5573	1	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ROBO3	15873	0.986881373	56084	1	11	124735282	124751366	124715282	124771366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	4504	0.991852015	0	0	yes	no	no	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HEPACAM	16981	0.986178059	57219	1	11	124789089	124806308	124769089	124826308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	3488	0.970236439	0	0	yes	no	no	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STT3A	32851	0.980539056	73503	1	11	125461607	125495110	125441607	125515110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	0.007790347	0	0	0	55	4454	0.962610763	0	0	yes	no	no	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HYLS1	16664	0.978278737	57034	1	11	125753509	125770543	125733509	125790543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0.008688505	0	0	0	38	2993	1	0	0	yes	no	yes	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX25	19390	0.9750088	59887	1	11	125773271	125793158	125753271	125813158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0.013425856	0	0	0	54	1791	0.981907895	0	0	yes	no	no	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDON	105817	0.983987205	147539	1	11	125825691	125933230	125805691	125953230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	857	0.007969202	0	0	0	203	9118	1	0	0	yes	no	no	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXRED1	8741	0.963089467	49076	1	11	126138950	126148026	126118950	126168026	0	0	0	0	0	0	308	0.033935654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0.001322168	1	0	0	11	1826	0.932108218	0	0	yes	no	yes	3	0	0	0	0	0	0	0	0	0	0	308	0.033935654	308	0.0339357	0
TIRAP	15286	0.96869455	55780	1	11	126152960	126168740	126132960	126188740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0.007984791	0	0	0	20	3134	1	0	0	yes	no	no	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ST3GAL4	80388	0.94904609	124704	1	11	126225535	126310239	126205535	126330239	0	0	0	0	0	0	495	0.00584388	0	0	0	0	0	0	0	0	0	0	0	0	17992	0.212410276	18179	0.214617964	1	0	0	108	2895	1	0	0	yes	no	no	7	0	0	0	0	0	0	0	0	0	0	495	0.00584388	495	0.0058439	0
KIRREL3	566012	0.97571285	620101	1	11	126293254	126873355	126273254	126893355	0	0	0	0	0	0	2624	0.00452335	0	0	1000	0.001723838	0	0	0	0	0	0	0	0	0	0	2211	0.003811405	2	0	0	1086	4162	0.963648993	0	0	yes	no	no	5	0	0	0	0	0	0	0	0	0	0	3624	0.006247188	3624	0.0062472	0
FLI1	123933	0.977914023	166732	1	11	128556430	128683162	128536430	128703162	0	0	0	0	0	0	768	0.006060032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0.001159928	1	0	0	137	3766	0.805733847	0	0	yes	yes	no	0	1	0	0	0	0	0	0	0	0	0	768	0.006060032	768	0.00606	0
KCNJ1	30900	0.994912744	71058	1	11	128706210	128737268	128686210	128757268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0.006600554	0	0	0	5	4602	1	0	0	yes	no	no	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNJ5	28500	0.960274942	69679	1	11	128761251	128790930	128741251	128810930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0.001752081	0	0	0	62	5742	0.940540541	0	0	yes	yes	no	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BARX2	75651	0.991026514	116336	1	11	129245835	129322171	129225835	129342171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	0.003261895	0	0	0	146	1806	1	0	0	yes	no	no	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ST14	49081	0.965895226	90814	1	11	130029457	130080271	130009457	130100271	0	0	0	0	0	0	585	0.011512575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	423	0.008324478	0	0	0	88	3460	0.982954545	0	0	yes	no	no	3	0	0	0	0	0	0	0	0	0	0	585	0.011512575	585	0.0115126	0
OPCML	1094754	0.979607943	1157543	1	11	132284871	133402414	132264871	133422414	0	0	0	0	0	0	10552	0.009442142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14041	0.01256417	7	0	0	1396	7081	1	0	0	yes	no	no	2	0	0	0	0	0	0	0	0	0	0	10552	0.009442142	10552	0.0094421	0
JAM3	80643	0.970713563	123076	1	11	133938820	134021896	133918820	134041896	0	0	0	0	0	0	1722	0.020728008	0	0	0	0	0	0	0	0	0	0	0	0	3500	0.042130098	12467	0.150067408	0	0	0	14	3903	1	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	1722	0.020728008	1722	0.020728	0
ACAD8	12360	1	52360	1	11	134123389	134135749	134103389	134155749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0.006148867	0	0	0	18	2238	1	0	0	yes	no	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B3GAT1	31576	0.944993117	73414	1	11	134248398	134281812	134228398	134301812	0	0	0	0	0	0	1602	0.047943976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	902	0.026994673	0	0	0	21	8162	0.991376169	0	0	yes	no	no	4	0	0	0	0	0	0	0	0	0	0	1602	0.047943976	1602	0.047944	0
SLC6A12	22848	0.932837954	64493	1	12	299243	323736	279243	343736	0	0	0	0	0	0	1429	0.0583432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0.006124199	1	0	0	28	3799	0.90495474	0	0	yes	no	no	1	0	0	0	0	0	0	0	0	0	0	1429	0.0583432	1429	0.0583432	0
SLC6A13	41001	0.97043787	82250	1	12	329789	372039	309789	392039	0	0	0	0	0	0	739	0.017491124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	830	0.01964497	0	0	0	93	3055	1	0	0	yes	no	no	1	0	0	0	0	0	0	0	0	0	0	739	0.017491124	739	0.0174911	0
KDM5A	105941	0.969046421	149325	1	12	389295	498620	369295	518620	0	0	0	0	0	0	303	0.002771553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6838	0.06254745	0	0	0	173	10600	0.987424313	0	0	no	yes	no	5	0	0	0	0	0	0	0	0	0	0	303	0.002771553	303	0.0027716	0
B4GALNT3	92983	0.901478501	143145	1	12	569530	672675	549530	692675	0	0	0	0	0	0	7545	0.07314945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2766	0.026816617	2	0	0	183	4953	0.981180666	0	0	yes	no	no	12	0	0	0	0	0	0	0	0	0	0	7545	0.07314945	7545	0.0731495	0
WNK1	153373	0.965466231	198859	1	12	861759	1020618	841759	1040618	0	0	0	0	0	0	1099	0.006918085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2948	0.018557337	1	0	0	215	10734	0.998140227	0	0	yes	no	no	13	0	0	0	0	0	0	0	0	0	0	1099	0.006918085	1099	0.0069181	0
RAD52	72934	0.935339079	117976	1	12	1021243	1099219	1001243	1119219	0	0	0	0	0	0	2841	0.036434287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	775	0.009938956	1	0	0	166	2592	0.881033311	0	0	yes	no	no	6	0	0	0	0	0	0	0	0	0	0	2841	0.036434287	2841	0.0364343	0
ERC1	472217	0.934298727	545424	1	12	1099675	1605099	1079675	1625099	0	0	0	0	0	0	17957	0.035528586	0	0	0	0	0	0	0	0	0	0	0	0	7869	0.015569106	15222	0.030117288	5	0	0	933	8863	0.935705236	0	0	no	yes	no	14	0	0	0	0	0	0	0	0	0	0	17957	0.035528586	17957	0.0355286	0
CACNA2D4	124780	0.983456679	166879	1	12	1901123	2028002	1881123	2048002	0	0	0	0	0	0	765	0.006029367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1537	0.012113904	0	0	0	184	5437	1	0	0	yes	no	no	3	0	0	0	0	0	0	0	0	0	0	765	0.006029367	765	0.0060294	0
CACNA1C	702046	0.972152831	762156	1	12	2079952	2802108	2059952	2822108	0	0	0	0	0	0	9803	0.013574629	0	0	2000	0.002769485	0	0	0	0	0	0	0	0	5296	0.007333596	19322	0.026755992	7	0	0	698	8850	1	0	0	yes	no	yes	8	0	0	0	0	0	0	0	0	0	0	10374	0.014365317	10374	0.0143653	0
FKBP4	10457	1	50457	1	12	2904119	2914576	2884119	2934576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2257	1	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXM1	18223	0.941319283	59359	1	12	2966847	2986206	2946847	3006206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0.00687019	0	0	0	11	3519	1	0	0	yes	no	no	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TULP3	59910	0.937309323	103917	1	12	2986389	3050306	2966389	3070306	0	0	0	0	0	0	1186	0.018555314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	751	0.011749613	3	0	0	212	2226	0.726264274	0	0	yes	no	no	1	2	0	0	0	0	0	0	0	0	0	1186	0.018555314	1186	0.0185553	0
CCND2	30888	0.978149344	71578	1	12	4382938	4414516	4362938	4434516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1.58E-04	0	0	0	48	6329	0.977451737	0	0	no	yes	no	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF23	11144	0.968959221	51501	1	12	4477393	4488894	4457393	4508894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	529	0.045996	0	0	0	14	2907	0.964179104	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NDUFA9	40079	0.997163685	80193	1	12	4758261	4798454	4738261	4818454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	522	0.012987336	1	0	0	58	3209	0.96569365	0	0	yes	no	yes	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALNT8	127192	0.972638984	170770	1	12	4829507	4960277	4809507	4980277	0	0	0	0	0	0	1562	0.011944636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2394	0.018306951	4	0	0	198	2237	0.944280287	0	0	yes	no	no	6	0	0	0	0	0	0	0	0	0	0	1562	0.011944636	1562	0.0119446	0
