Gene stable ID	Gene start (bp)	Chromosome/scaffold name	Gene end (bp)	Gene name
ENSG00000226508	105144113	2	105145424	LINC01918
ENSG00000135973	105241743	2	105243467	GPR45
ENSG00000272861	105249404	2	105249794	AC012360.2
ENSG00000135966	105264391	2	105329735	TGFBRAP1
ENSG00000235319	105324210	2	105330529	AC012360.1
ENSG00000272994	105334027	2	105337475	AC012360.3
ENSG00000135974	105337532	2	105349211	C2orf49
ENSG00000115641	105357712	2	105438513	FHL2
ENSG00000238273	105363038	2	105378839	AC108058.1
ENSG00000287036	105600703	2	105610487	AC018802.1
ENSG00000287308	105601146	2	105636637	AC018802.2
ENSG00000071051	105744912	2	105894274	NCK2
ENSG00000235522	105846534	2	105857177	AC010978.1
ENSG00000234162	105874509	2	105962386	AC009505.1
ENSG00000119147	106063246	2	106078155	ECRG4
ENSG00000115652	106093303	2	106194339	UXS1
ENSG00000233339	106179542	2	106183797	AC018878.1
ENSG00000273595	106207394	2	106208115	AC092106.1
ENSG00000213295	106247369	2	106247741	RPL22P10
ENSG00000224061	106253231	2	106253717	SRSF3P4
ENSG00000230353	106288803	2	106289053	AC114755.3
ENSG00000233939	106304755	2	106305197	AC114755.4
ENSG00000227513	106344566	2	106345433	AC114755.1
ENSG00000229682	106368209	2	106368876	AC114755.2
ENSG00000235486	106369724	2	106378247	ANAPC1P6
ENSG00000240935	106382171	2	106393031	PLGLA
ENSG00000153165	106391290	2	106468413	RGPD3
ENSG00000237666	106470799	2	106477669	AC097527.1
ENSG00000254126	106487364	2	106544297	CD8B2
ENSG00000232001	106521563	2	106544297	AC108868.2
ENSG00000231505	106521903	2	106538079	AC108868.1
ENSG00000214199	106697331	2	106698676	EEF1A1P12
ENSG00000144057	106801600	2	106887108	ST6GAL2
ENSG00000238250	106822923	2	106825031	ST6GAL2-IT1
ENSG00000227294	106834464	2	106841207	AC016994.1
ENSG00000286218	106933739	2	106996534	AC005040.2
ENSG00000229360	106940880	2	106941482	PPP1R2P5
ENSG00000226905	106963193	2	106963674	AC005040.1
ENSG00000229457	107254691	2	107365873	LINC01789
ENSG00000225588	107362282	2	107407329	AC096669.1
ENSG00000237880	107382715	2	107748270	LINC01885
ENSG00000224568	107529292	2	107556499	LINC01886
ENSG00000286769	107698737	2	107746941	AC064869.1
ENSG00000232991	107754112	2	107822129	GACAT1
ENSG00000230651	107823063	2	107826891	RGPD4-AS1
ENSG00000196862	107826892	2	107892544	RGPD4
ENSG00000233494	107902997	2	107903134	AC009963.2
ENSG00000227270	107903964	2	107904241	AC009963.1
ENSG00000237745	107914948	2	107915286	RPL22P8
ENSG00000235325	107920763	2	107921248	SRSF3P5
ENSG00000115665	107986523	2	108013994	SLC5A7
ENSG00000231221	108049200	2	108052755	LINC01593
ENSG00000229890	108099110	2	108099492	ACTP1
ENSG00000225328	108167125	2	108217886	LINC01594
ENSG00000236877	108226015	2	108226331	SETD6P1
ENSG00000196228	108247195	2	108265351	SULT1C3
ENSG00000227597	108276812	2	108277942	WASF1P1
ENSG00000198203	108288639	2	108309915	SULT1C2
ENSG00000261209	108317725	2	108318611	SULT1C2P2
ENSG00000237223	108322238	2	108353799	SULT1C2P1
ENSG00000271070	108367116	2	108367938	GMCL1P2
ENSG00000198075	108377911	2	108388989	SULT1C4
ENSG00000271284	108423612	2	108423885	SMIM12P1
ENSG00000135968	108449191	2	108509415	GCC2
ENSG00000214184	108507515	2	108534196	GCC2-AS1
ENSG00000169756	108534355	2	108687246	LIMS1
ENSG00000228763	108676795	2	108678601	LIMS1-AS1
ENSG00000233648	108694750	2	108694893	AC010095.1
ENSG00000235644	108712262	2	108712900	RPL10P5
ENSG00000153201	108719482	2	108785809	RANBP2
ENSG00000163006	108786757	2	108885477	CCDC138
ENSG00000227470	108878308	2	108878460	AC073415.1
ENSG00000135960	108894471	2	108989372	EDAR
ENSG00000277628	109124357	2	109124609	AC133109.1
ENSG00000259863	109127327	2	109128930	SH3RF3-AS1
ENSG00000172985	109129205	2	109504634	SH3RF3
ENSG00000264934	109141490	2	109141588	MIR4265
ENSG00000228551	109251422	2	109251646	SNRPGP9
ENSG00000265965	109313571	2	109313625	MIR4266
ENSG00000186522	109542799	2	109614143	SEPTIN10
ENSG00000237916	109552536	2	109552846	AC011753.3
ENSG00000230696	109594693	2	109605698	AC011753.2
ENSG00000198142	109614364	2	109618990	SOWAHC
ENSG00000230603	109665209	2	109665742	AC011753.1
ENSG00000231099	109667128	2	109668002	BMS1P19
ENSG00000233307	109732731	2	109733136	SRSF3P6
ENSG00000233707	109737139	2	109737523	RPL22P11
ENSG00000282033	109758799	2	109760364	AC074387.1
ENSG00000015568	109792758	2	109857705	RGPD5
ENSG00000256977	109898428	2	109924868	LIMS3
ENSG00000284337	109898432	2	109968557	AC013271.1
ENSG00000186148	109933161	2	109974085	AC013268.1
ENSG00000283684	109937438	2	109985124	AC013268.5
ENSG00000240069	109984058	2	109984988	GPAA1P1
ENSG00000225108	109986939	2	109988394	ZBTB45P1
ENSG00000204588	109987063	2	109996140	LINC01123
ENSG00000235721	110007675	2	110010783	AC013268.3
ENSG00000229730	110012265	2	110012601	AC013268.2
ENSG00000283283	110022447	2	110050064	AC013268.4
ENSG00000265682	110069961	2	110070042	MIR4267
ENSG00000144063	110083870	2	110116022	MALL
ENSG00000264979	110086433	2	110086523	MIR4436B1
ENSG00000144061	110122311	2	110205066	NPHP1
ENSG00000233370	110184054	2	110185179	ACTR1AP1
ENSG00000175701	110211529	2	110245420	MTLN
ENSG00000261760	110231106	2	110272050	AC140479.3
ENSG00000282304	110245591	2	110285856	AC140479.4
ENSG00000282785	110279606	2	110285681	AC140479.5
ENSG00000263881	110284853	2	110284943	MIR4436B2
ENSG00000283167	110321402	2	110348941	AC140479.6
ENSG00000226991	110358790	2	110359126	AC140479.1
ENSG00000230650	110360608	2	110363737	AC140479.2
ENSG00000175772	110375138	2	110384442	LINC01106
ENSG00000226065	110383112	2	110384642	ZBTB45P2
ENSG00000230596	110386377	2	110388163	GPAA1P2
ENSG00000273471	110386411	2	110433673	AC112229.4
ENSG00000184115	110397406	2	110435166	AC112229.1
ENSG00000257207	110402934	2	110473075	AC112229.3
ENSG00000256671	110446640	2	110473075	LIMS4
ENSG00000227574	110449242	2	110451064	AC112229.2
ENSG00000231583	110500100	2	110500235	AC108938.1
ENSG00000183054	110513812	2	110577185	RGPD6
ENSG00000231536	110610916	2	110612404	AC226101.1
ENSG00000216867	110633947	2	110634333	RPL22P12
ENSG00000169679	110637528	2	110678063	BUB1
ENSG00000235881	110709575	2	110716595	AC114776.1
ENSG00000153093	110732573	2	111118222	ACOXL
ENSG00000236330	110967834	2	110968719	RPL5P9
ENSG00000172965	111006015	2	111523376	MIR4435-2HG
ENSG00000204581	111098345	2	111116407	ACOXL-AS1
ENSG00000153094	111119378	2	111168445	BCL2L11
ENSG00000230499	111195963	2	111206494	AC108463.2
ENSG00000227992	111203964	2	111206215	AC108463.1
ENSG00000271590	111210995	2	111212476	AC108463.3
ENSG00000229118	111265283	2	111279880	AC068491.2
ENSG00000270190	111266868	2	111267473	AC068491.3
ENSG00000226928	111295629	2	111296046	RPS14P4
ENSG00000266139	111321013	2	111321086	MIR4435-2
ENSG00000223973	111383752	2	111384992	AC068491.1
ENSG00000285016	111429324	2	111699033	AC017002.4
ENSG00000280878	111468810	2	111637967	AC017002.3
ENSG00000240350	111491272	2	111570974	SOCAR
ENSG00000271635	111558413	2	111559937	AC017002.2
ENSG00000225744	111607841	2	111612518	AC017002.1
ENSG00000153107	111611639	2	111884690	ANAPC1
ENSG00000237583	111675026	2	111675343	AC093166.3
ENSG00000227842	111717508	2	111717837	AC093166.1
ENSG00000228615	111742586	2	111744662	CENPNP2
ENSG00000266063	111771061	2	111771134	MIR4771-2
ENSG00000230958	111865798	2	111866405	AC093166.2
ENSG00000236307	111887914	2	111888741	EEF1E1P1
ENSG00000153208	111898607	2	112029561	MERTK
ENSG00000240183	111930175	2	111930467	RN7SL297P
ENSG00000225496	111940302	2	111941036	RTRAFP1
ENSG00000232277	111952144	2	111952671	SLC30A6P1
ENSG00000286904	112039378	2	112055337	AC093675.1
ENSG00000153214	112055269	2	112119318	TMEM87B
ENSG00000287141	112061084	2	112063709	AC093675.2
ENSG00000144152	112138385	2	112188218	FBLN7
ENSG00000278962	112188364	2	112190635	AC092645.1
ENSG00000144161	112211529	2	112255136	ZC3H8
ENSG00000286545	112239621	2	112244375	AC092645.2
ENSG00000188177	112275597	2	112340063	ZC3H6
ENSG00000235258	112286057	2	112286422	NDUFB4P6
ENSG00000236555	112346011	2	112346258	AC115115.1
ENSG00000169629	112368369	2	112434488	RGPD8
ENSG00000283698	112439312	2	112469687	VINAC1P
ENSG00000114999	112482156	2	112541739	TTL
ENSG00000125630	112541915	2	112579818	POLR1B
ENSG00000207383	112579484	2	112579584	AC012442.1
ENSG00000125611	112584240	2	112589275	CHCHD5
ENSG00000243389	112589040	2	112614431	AC012442.3
ENSG00000228251	112590796	2	112591939	AC012442.2
ENSG00000231747	112621809	2	112622167	AC079922.1
ENSG00000237753	112641832	2	112645720	AC079922.2
ENSG00000144136	112645939	2	112663825	SLC20A1
ENSG00000144130	112721486	2	112742879	NT5DC4
ENSG00000169607	112736349	2	112764664	CKAP2L
ENSG00000115008	112773925	2	112784493	IL1A
ENSG00000287937	112817076	2	112824457	AC079753.2
ENSG00000125538	112829751	2	112836816	IL1B
ENSG00000280228	112840328	2	112844195	AC079753.1
ENSG00000180152	112853328	2	112854122	XIAPP3
ENSG00000125571	112912971	2	112918882	IL37
ENSG00000227368	112932625	2	112933171	CDK8P2
ENSG00000136688	112973203	2	112985658	IL36G
ENSG00000236124	112981166	2	112981434	HMGN2P23
ENSG00000232090	112995517	2	112995937	AC016724.1
ENSG00000136694	113005459	2	113008044	IL36A
ENSG00000136696	113022089	2	113052867	IL36B
ENSG00000136695	113058638	2	113065382	IL36RN
ENSG00000136697	113067970	2	113075843	IL1F10
ENSG00000201805	113086805	2	113086911	RNU6-1180P
ENSG00000136689	113107214	2	113134016	IL1RN
ENSG00000125637	113157325	2	113209396	PSD4
ENSG00000234174	113171535	2	113175360	AC016683.1
ENSG00000189223	113211421	2	113276581	PAX8-AS1
ENSG00000125618	113215997	2	113278921	PAX8
ENSG00000234997	113325372	2	113425548	AC016745.1
ENSG00000231292	113406396	2	113406872	IGKV1OR2-108
ENSG00000272563	113432600	2	113436042	AC016745.2
ENSG00000136682	113437691	2	113496204	CBWD2
ENSG00000184492	113498665	2	113501155	FOXD4L1
ENSG00000234148	113512222	2	113515488	LINC01961
ENSG00000231943	113526836	2	113542694	PGM5P4-AS1
ENSG00000225398	113541937	2	113563298	PGM5P4
ENSG00000226516	113577382	2	113578852	FAM138B
ENSG00000287165	113582354	2	113583152	AL078621.4
ENSG00000221055	113582959	2	113583096	MIR1302-3
ENSG00000146556	113588550	2	113599043	WASH2P
ENSG00000236397	113599036	2	113601261	DDX11L2
ENSG00000279267	113605867	2	113607908	AL078621.3
ENSG00000240356	113610502	2	113627090	RPL23AP7
ENSG00000144134	113627229	2	113643396	RABL2A
ENSG00000144158	113657908	2	113658675	AL078621.1
ENSG00000175509	113667478	2	113668621	AL078621.2
ENSG00000233479	113669166	2	113673191	AC017074.2
ENSG00000227359	113677702	2	113704078	AC017074.1
ENSG00000202427	113681111	2	113681217	RNU6-744P
ENSG00000115084	113705011	2	113756693	SLC35F5
ENSG00000265429	113721290	2	113721368	MIR4782
ENSG00000244063	113829390	2	113831119	AC104653.2
ENSG00000228857	113831049	2	113843356	AC104653.1
ENSG00000270019	113888203	2	113889750	AC110769.2
ENSG00000115091	113890063	2	113962596	ACTR3
ENSG00000279957	113904086	2	113905258	AC110769.3
ENSG00000234199	113970719	2	114007304	LINC01191
ENSG00000243179	113979909	2	113983258	AC110769.1
ENSG00000212182	114005440	2	114005655	AC010982.1
ENSG00000286513	114114679	2	114117390	AC010982.3
ENSG00000235242	114122274	2	114123293	AC010982.2
ENSG00000231926	114260050	2	114261226	SEPHS1P7
ENSG00000222923	114420125	2	114420302	RNU2-41P
ENSG00000175497	114442299	2	115845780	DPP10
ENSG00000231538	114828432	2	114833548	DPP10-AS3
ENSG00000235717	114833830	2	114835588	DPP10-AS2
ENSG00000286776	115079354	2	115099092	AC093610.1
ENSG00000235026	115126622	2	115161384	DPP10-AS1
ENSG00000230391	115468056	2	115468938	RPSAP23
ENSG00000287451	115835129	2	115940291	AC016721.1
ENSG00000271667	116687218	2	116687387	AC104408.1
ENSG00000224869	116726453	2	116726771	AC062016.1
ENSG00000226341	116751158	2	116751648	MTCYBP39
ENSG00000235871	116818086	2	116818761	AC062016.2
ENSG00000230158	117023918	2	117024867	MTND1P28
ENSG00000230950	117025077	2	117026118	MTND2P21
ENSG00000228898	117026537	2	117027024	MTCO1P43
ENSG00000239185	117139715	2	117139775	RNU7-190P
ENSG00000227291	117180892	2	117181562	AC092170.1
ENSG00000286370	117536387	2	117539464	AC064856.1
ENSG00000238207	117754139	2	117804174	AC009312.1
ENSG00000088205	117814691	2	117832377	DDX18
ENSG00000236255	117833937	2	117841658	AC009404.1
ENSG00000125631	117859427	2	117934942	HTR5BP
ENSG00000125633	117915478	2	118014133	CCDC93
ENSG00000224967	117934025	2	117934789	AC009303.1
ENSG00000235066	117995397	2	118055033	AC009303.2
ENSG00000272895	117998745	2	117999480	AC009303.3
ENSG00000279227	118014174	2	118015673	AC009303.4
ENSG00000243510	118016385	2	118016669	RN7SL111P
ENSG00000125629	118088452	2	118110997	INSIG2
ENSG00000226856	118132128	2	118222250	THORLNC
ENSG00000258910	118766965	2	118835110	LINC01956
ENSG00000163064	118842171	2	118847648	EN1
ENSG00000019169	118942166	2	118994660	MARCO
ENSG00000259094	118949306	2	118952983	AC013457.1
ENSG00000144119	119156243	2	119158751	C1QL2
ENSG00000264833	119169822	2	119170115	RN7SL468P
ENSG00000115107	119223831	2	119265652	STEAP3
ENSG00000229867	119244422	2	119270714	STEAP3-AS1
ENSG00000186132	119302225	2	119366834	C2orf76
ENSG00000155368	119366921	2	119372560	DBI
ENSG00000171227	119429901	2	119438504	TMEM37
ENSG00000080293	119439843	2	119525301	SCTR
ENSG00000231013	119476428	2	119487346	AC013275.1
ENSG00000163075	119544432	2	119662251	CFAP221
ENSG00000144120	119679167	2	119686507	TMEM177
ENSG00000229326	119698623	2	119700151	RPL17P15
ENSG00000088179	119759922	2	119984899	PTPN4
ENSG00000233741	119993199	2	119993611	RPL27P7
ENSG00000115109	120013077	2	120179119	EPB41L5
ENSG00000224789	120174885	2	120216544	AC012363.2
ENSG00000202046	120192245	2	120192357	AC012363.1
ENSG00000236878	120211054	2	120211715	MTATP6P26
ENSG00000227788	120211727	2	120212862	MTCO3P43
ENSG00000233286	120212935	2	120213275	MTND3P10
ENSG00000243104	120213344	2	120213631	MTND4LP14
ENSG00000234065	120213631	2	120214989	MTND4P26
ENSG00000223549	120215181	2	120217279	MTND5P28
ENSG00000226479	120217479	2	120223400	TMEM185B
ENSG00000144118	120240064	2	120294710	RALB
ENSG00000235840	120319007	2	120326298	AC012363.3
ENSG00000163083	120346136	2	120351803	INHBB
ENSG00000280409	120464335	2	120466218	LINC01101
ENSG00000237614	120542905	2	120545249	AC073257.2
ENSG00000232140	120552481	2	120558119	AC073257.1
ENSG00000201006	120651273	2	120651374	AC018866.1
ENSG00000229774	120686635	2	120710517	AC018866.2
ENSG00000074047	120735623	2	120992653	GLI2
ENSG00000271709	120866378	2	120867403	AC017033.1
ENSG00000201584	121040610	2	121040710	AC016764.1
ENSG00000234455	121081437	2	121088726	AC067960.1
ENSG00000236145	121178327	2	121182580	AC079988.1
ENSG00000115112	121216587	2	121285202	TFCP2L1
ENSG00000232723	121309995	2	121310412	AC013399.1
ENSG00000074054	121337776	2	121649587	CLASP1
ENSG00000265451	121530422	2	121532705	AC012447.1
ENSG00000264229	121530881	2	121531007	RNU4ATAC
ENSG00000222467	121603073	2	121603164	AC079449.1
ENSG00000236859	121649320	2	121728563	NIFK-AS1
ENSG00000230993	121658475	2	121658973	RPL12P15
ENSG00000279721	121688203	2	121689714	AC018737.2
ENSG00000213239	121708512	2	121709115	NPM1P32
ENSG00000155438	121726945	2	121736911	NIFK
ENSG00000211460	121737103	2	121767853	TSN
ENSG00000270798	121743479	2	121745921	AC018737.1
ENSG00000224655	121779133	2	121809962	LINC01823
ENSG00000286481	121902501	2	122887691	AC011246.1
ENSG00000287871	122503366	2	122505118	AC073632.1
ENSG00000237856	123065321	2	123067722	AC062020.1
ENSG00000232740	123066151	2	123073481	LINC01826
ENSG00000287854	123421486	2	123438693	AC073409.2
ENSG00000226708	123443266	2	123444445	AC073409.1
ENSG00000235640	123695302	2	123697396	ELOAP1
ENSG00000227738	123762171	2	123763071	PSMD14P1
ENSG00000279874	123850522	2	123850695	AC064859.1
ENSG00000223118	123869256	2	123869570	RN7SKP102
ENSG00000228400	124011984	2	124025173	AC079154.1
ENSG00000155052	124025287	2	124915287	CNTNAP5
ENSG00000238046	124680722	2	124680916	MTND5P22
ENSG00000286384	124695242	2	124696530	AC019159.2
ENSG00000270815	124778454	2	124778640	AC019159.1
ENSG00000252674	124932915	2	124933020	RNA5SP102
ENSG00000206726	124989219	2	124989325	RNU6-259P
ENSG00000286206	125665331	2	125717150	AC097499.2
ENSG00000235491	125710969	2	125765842	LINC01889
ENSG00000224410	125823108	2	125823315	AC097499.1
ENSG00000226813	126109761	2	126118023	LINC01941
ENSG00000286515	126154583	2	126203372	AC142116.2
ENSG00000235774	126308494	2	126343992	AC023347.1
ENSG00000236655	126311466	2	126311927	SLC6A14P3
ENSG00000213236	126557435	2	126558162	YWHAZP2
ENSG00000288524	126640708	2	126646233	AC013474.2
ENSG00000136732	126656133	2	126696667	GYPC
ENSG00000235128	126679622	2	126680420	AC013474.1
ENSG00000206963	126702839	2	126702942	RNU6-675P
ENSG00000237524	126898864	2	126902097	TEX51
ENSG00000238788	127017421	2	127017482	RNU7-182P
ENSG00000260634	127024252	2	127025723	AC012508.2
ENSG00000286971	127024866	2	127033948	AC012508.3
ENSG00000260163	127025211	2	127029686	AC012508.1
ENSG00000136717	127048027	2	127107288	BIN1
ENSG00000286400	127141976	2	127143793	AC110926.2
ENSG00000237630	127170011	2	127170231	NIFKP9
ENSG00000186684	127183832	2	127220313	CYP27C1
ENSG00000226789	127247258	2	127250082	AC110926.1
ENSG00000163161	127257290	2	127294166	ERCC3
ENSG00000286145	127294212	2	127375075	AC068282.1
ENSG00000169967	127298730	2	127388465	MAP3K2
ENSG00000200250	127316873	2	127316979	RNU6-1147P
ENSG00000236682	127388184	2	127400580	MAP3K2-DT
ENSG00000287742	127406731	2	127408221	AC068282.2
ENSG00000115718	127418427	2	127429242	PROC
ENSG00000264075	127423537	2	127423618	MIR4783
ENSG00000163166	127436207	2	127526886	IWS1
ENSG00000231731	127455394	2	127514623	AC010976.1
ENSG00000202429	127472234	2	127472415	RNU4-48P
ENSG00000169994	127535802	2	127637729	MYO7B
ENSG00000272789	127625997	2	127626848	AC010976.2
ENSG00000072163	127638381	2	127681786	LIMS2
ENSG00000144230	127645864	2	127652639	GPR17
ENSG00000136709	127701027	2	127811187	WDR33
ENSG00000173349	127701497	2	127705242	SFT2D3
ENSG00000201470	127798903	2	127798998	RNY4P7
ENSG00000200390	127829747	2	127829852	AC006011.1
ENSG00000274010	127840606	2	127841763	ZFP91P1
ENSG00000144231	127843553	2	127858155	POLR2D
ENSG00000202532	127845236	2	127845341	RNU6-395P
ENSG00000244563	127846736	2	127847084	RPS26P19
ENSG00000273950	127856890	2	127857147	AC012306.3
ENSG00000144233	127861630	2	127885956	AMMECR1L
ENSG00000272667	127886556	2	127887185	AC012306.2
ENSG00000286873	127888829	2	127892732	AC012306.4
ENSG00000204399	127931327	2	127931440	AC012306.1
ENSG00000136715	127941217	2	128028120	SAP130
ENSG00000234044	128067194	2	128067407	AC108059.3
ENSG00000200432	128067800	2	128067901	AC108059.1
ENSG00000136731	128091200	2	128195677	UGGT1
ENSG00000229173	128139792	2	128140516	SRMP3
ENSG00000232101	128151154	2	128151304	AC108059.2
ENSG00000229758	128199901	2	128200195	DYNLT3P2
ENSG00000185631	128203361	2	128203775	RPL14P6
ENSG00000238180	128217588	2	128218072	RPL21P34
ENSG00000136720	128236716	2	128318868	HS6ST1
ENSG00000252742	128350829	2	128350927	AC013277.1
ENSG00000238379	128445081	2	128445198	RNA5SP103
ENSG00000227653	128518788	2	128519177	ISCA1P6
ENSG00000237532	128580491	2	128581576	AC012451.1
ENSG00000238277	129063846	2	129071725	AC068483.1
ENSG00000204460	129242173	2	129273848	LINC01854
ENSG00000233428	129496297	2	129496788	PPIAP65
ENSG00000229536	129825126	2	129877664	LINC02572
ENSG00000286957	129877896	2	129884441	AC079776.5
ENSG00000214100	129922863	2	129934317	PLAC9P1
ENSG00000237574	129923177	2	129946703	LINC01856
ENSG00000234559	129939848	2	129940217	RPL22P7
ENSG00000225449	129966592	2	129980466	RAB6C-AS1
ENSG00000222014	129979666	2	129982738	RAB6C
ENSG00000284619	129988158	2	129990530	AC079776.3
ENSG00000286026	129990456	2	130028412	AC079776.4
ENSG00000250207	129992602	2	129993105	AC079776.2
ENSG00000217289	129992889	2	129994040	AC079776.1
ENSG00000231147	130006200	2	130009123	ARHGAP42P2
ENSG00000180178	130012065	2	130040560	FAR2P1
ENSG00000286058	130026845	2	130051131	AC018865.2
ENSG00000231240	130036958	2	130038422	KLF2P1
ENSG00000248313	130048426	2	130049440	CYP4F27P
ENSG00000196604	130073535	2	130129222	POTEF
ENSG00000228471	130082092	2	130082220	AC018865.1
ENSG00000224087	130107684	2	130109741	POTEF-AS1
ENSG00000252223	130109204	2	130109310	RNU6-1049P
ENSG00000223760	130129621	2	130139417	MED15P9
ENSG00000152076	130139287	2	130145134	CCDC74B
ENSG00000136699	130151392	2	130182750	SMPD4
ENSG00000152082	130181737	2	130190729	MZT2B
ENSG00000152086	130191745	2	130198439	TUBA3E
ENSG00000227632	130202312	2	130212628	AC018804.1
ENSG00000230756	130212870	2	130213490	RHOQP3
ENSG00000213225	130229379	2	130232106	NOC2LP1
ENSG00000234398	130245971	2	130248770	AC134915.1
ENSG00000236595	130251568	2	130252559	MED15P5
ENSG00000237722	130270440	2	130272272	MTND1P29
ENSG00000231954	130272479	2	130273511	MTND2P22
ENSG00000236211	130273908	2	130275449	MTCO1P7
ENSG00000230496	130275592	2	130276257	MTCO2P7
ENSG00000232990	130276507	2	130277187	MTATP6P7
ENSG00000249997	130277184	2	130277957	MTCO3P7
ENSG00000283940	130278036	2	130278376	AC068137.1
ENSG00000284171	130278444	2	130278739	AC068137.2
ENSG00000230548	130278757	2	130280110	MTND4P27
ENSG00000234934	130280299	2	130282105	MTND5P29
ENSG00000248136	130282085	2	130282606	MTND6P8
ENSG00000233550	130282679	2	130283329	MTCYBP8
ENSG00000226915	130293822	2	130294405	RPL19P4
ENSG00000271435	130313934	2	130314411	TEKT4P3
ENSG00000224352	130330142	2	130330285	AC132479.1
ENSG00000136710	130337933	2	130342699	CCDC115
ENSG00000136718	130342877	2	130347967	IMP4
ENSG00000072135	130356045	2	130375405	PTPN18
ENSG00000178162	130416755	2	130431363	FAR2P2
ENSG00000230646	130427731	2	130429225	KLF2P2
ENSG00000239402	130429827	2	130441413	CYP4F62P
ENSG00000196834	130459455	2	130509707	POTEI
ENSG00000251973	130497743	2	130497849	RNU6-473P
ENSG00000225819	130515997	2	130526691	AC013269.2
ENSG00000274711	130517049	2	130517312	AC013269.3
ENSG00000152093	130521197	2	130528604	CFC1B
ENSG00000225341	130530275	2	130537182	AC013269.1
ENSG00000184761	130539095	2	130549883	PRSS40B
ENSG00000183292	130570829	2	130584161	PRSS40A
ENSG00000232408	130583549	2	130590463	AC140481.2
ENSG00000136698	130592165	2	130599575	CFC1
ENSG00000277668	130603461	2	130603724	AC140481.3
ENSG00000222038	130611481	2	130658091	POTEJ
ENSG00000251757	130622838	2	130622944	RNU6-848P
ENSG00000214081	130680050	2	130685863	CYP4F30P
ENSG00000282944	130681228	2	130691691	AC140481.4
ENSG00000240253	130690133	2	130718831	FAR2P3
ENSG00000223349	130692243	2	130693770	KLF2P3
ENSG00000173302	130729070	2	130730336	GPR148
ENSG00000229797	130742959	2	130755879	AC140481.1
ENSG00000178171	130755435	2	130768134	AMER3
ENSG00000232503	130776646	2	130776957	CYCSP8
ENSG00000233221	130830978	2	130836994	AC133785.1
ENSG00000136002	130836916	2	131047263	ARHGEF4
ENSG00000281159	130929762	2	130929883	AC112786.1
ENSG00000281516	130929762	2	130929884	AC112786.2
ENSG00000284479	131035092	2	131035262	SMIM39
ENSG00000152102	131047876	2	131093460	FAM168B
ENSG00000115762	131104847	2	131353709	PLEKHB2
ENSG00000230450	131177618	2	131178946	NEK2P4
ENSG00000225448	131181153	2	131181369	AC009477.1
ENSG00000236956	131189834	2	131198007	NF1P8
ENSG00000285819	131191641	2	131209211	AC131180.1
ENSG00000248796	131201142	2	131202941	MED15P8
ENSG00000188219	131218067	2	131265278	POTEE
ENSG00000212199	131229607	2	131229713	RNU6-127P
ENSG00000231431	131279290	2	131309068	FAR2P4
ENSG00000236516	131299220	2	131300444	KLF2P4
ENSG00000284604	131303037	2	131355683	AC073869.5
ENSG00000227817	131328176	2	131330857	ARHGAP42P1
ENSG00000284706	131335502	2	131355769	AC073869.7
ENSG00000224425	131352214	2	131353239	SSBP3P2
ENSG00000233087	131361111	2	131364142	RAB6D
ENSG00000283303	131363364	2	131364881	AC073869.3
ENSG00000233285	131369062	2	131369711	MTCYBP10
ENSG00000227275	131369785	2	131370301	MTND6P10
ENSG00000235080	131370306	2	131372075	MTND5P23
ENSG00000231777	131372294	2	131373650	MTND4P21
ENSG00000284003	131373647	2	131379675	AC073869.4
ENSG00000283865	131379743	2	131380083	MTND3P18
ENSG00000227661	131380153	2	131380913	MTCO3P18
ENSG00000236590	131380916	2	131381590	MTATP6P4
ENSG00000234480	131381840	2	131382497	MTCO2P18
ENSG00000237910	131382643	2	131384061	MTCO1P18
ENSG00000234939	131384461	2	131385490	MTND2P18
ENSG00000234576	131385700	2	131386314	MTND1P26
ENSG00000226831	131395217	2	131395542	MED15P3
ENSG00000276460	131398439	2	131401250	AC073869.2
ENSG00000223631	131402778	2	131410050	LINC01120
ENSG00000284659	131419665	2	131419784	AC073869.6
ENSG00000214077	131423801	2	131424867	GNAQP1
ENSG00000217950	131442644	2	131444587	NOC2LP2
ENSG00000232742	131460999	2	131461577	RHOQP2
ENSG00000273073	131461821	2	131463615	AC073869.1
ENSG00000173272	131464900	2	131492743	MZT2A
ENSG00000075886	131476119	2	131482934	TUBA3D
ENSG00000284149	131491160	2	131491236	MIR4784
ENSG00000152117	131492813	2	131521573	SMPD4BP
ENSG00000163040	131527675	2	131533666	CCDC74A
ENSG00000224679	131535187	2	131536988	MED15P4
ENSG00000286208	131555007	2	131568599	AC093838.1
ENSG00000204434	131591752	2	131628147	POTEKP
ENSG00000251956	131602790	2	131602896	RNU6-617P
ENSG00000224559	131637025	2	131649615	LINC01087
ENSG00000270930	131646704	2	131648372	GRAMD4P8
ENSG00000287151	131647990	2	131767404	C2orf27A
ENSG00000288031	131692392	2	131697954	AC093838.2
ENSG00000197927	131722417	2	131751669	C2orf27A
ENSG00000213222	131723253	2	131724279	TOMM40P4
ENSG00000287071	131758031	2	131767221	AC093724.1
ENSG00000186825	131794961	2	131801661	C2orf27B
ENSG00000274353	131821987	2	131822920	AC103564.3
ENSG00000229203	131829801	2	131832031	AC103564.1
ENSG00000232760	131833783	2	131836532	AC103564.2
ENSG00000244337	131958277	2	131965535	AJ239322.2
ENSG00000235615	131964731	2	131979873	AJ239322.1
